Open	High	Low	Close	Adj Close	Volume	change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	symbol	company	list_date	v_change
0.37	0.4	0.36	0.4	0.4	1453647	0.36	0.12	0.09	0.07	290829.4	145914.7	72957.35	TGIF	1933 Industries Inc.	2018-10-01	1162817.6
0.03	0.04	0.02	0.03	0.03	1390899	-0.04	0.04	0.04	0.03	279579.8	141189.9	70594.95	CODE	360 Blockchain Group Inc.	2017-10-10	1111319.2
0.1	0.1	0.1	0.1	0.1	0	-0.4	0.43	0.47	0.49	0.0	0.0	0.0	JJJ	37 Capital Inc. 	2014-07-07	0.0
0.14	0.14	0.14	0.14	0.14	0	0.0	0.15	0.15	0.15	600.0	300.0	150.0	SXX	66 Resources Corp.	2018-06-28	-600.0
0.09	0.09	0.08	0.08	0.08	1366376	-0.08	0.16	0.17	0.17	389644.8	287555.7	215783.4	ATT	Abattis Bioceuticals Corp. 	2010-12-23	976731.2
0.02	0.04	0.02	0.02	0.02	377000	0.0	0.03	0.02	0.03	93399.8	151549.9	94980.35	AOC	Advantagewon Oil Corp. 	2017-07-13	283600.2
0.0	0.0	0.0	0.0	0.0	0	-0.01	0.01	0.01	0.01	23400.6	256739.7	186439.85	ADX	Advantex Marketing International Inc.	2011-03-15	-23400.6
0.04	0.04	0.04	0.04	0.04	212200	-0.15	0.16	0.19	0.18	138172.0	378953.5	375243.1	AFI	Affinor Growers Inc. 	2014-05-30	74028.0
0.1	0.1	0.1	0.1	0.1	0	0.0	0.08	0.09	0.08	980.0	1590.0	795.0	AJN	AJN Resources Inc.	2018-06-12	-980.0
0.0	0.06	0.06	0.06	0.06	0	0.0	0.05	0.06	0.05	0.0	0.0	0.0	AMS	Alchemist Mining Inc.	2014-08-20	0.0
0.08	0.08	0.07	0.08	0.08	644582	0.0	0.08	0.08	0.09	559967.0	426346.9	298190.25	ACG	Alliance Growers Corp.	2015-06-22	84615.0
0.22	0.22	0.22	0.22	0.22	0	0.0	0.22	0.22	0.21	0.0	0.0	0.0	ALQ	ALQ Gold Corp.	2016-09-20	0.0
0.46	0.46	0.44	0.44	0.44	2100	-0.01	0.46	0.44	0.48	11187.0	20092.8	19334.0	AHG	Alternate Health Corp. 	2017-01-24	-9087.0
0.06	0.06	0.06	0.06	0.06	81000	0.0	0.06	0.06	0.06	101741.8	155153.4	129779.7	USGD	American Pacific Mining Corp.	2018-03-08	-20741.8
0.59	0.59	0.59	0.59	0.59	2025	0.06	0.57	0.57	0.59	4596.0	4048.0	3169.0	AFD	Ansar Financial and Development Corporation 	2015-03-13	-2571.0
0.28	0.28	0.27	0.28	0.28	64500	0.03	0.25	0.25	0.25	12900.0	6450.0	3225.0	API	Appia Energy Corp. 	2014-06-19	51600.0
